Geneid,M9-41T-3,M9-41T-4,M9-41T-5,TB-41T-4,TB-41T-5,TB-41T-6
thrL,208,277,225,104,113,110
thrA,62076,97798,67105,1184,1229,1317
thrB,6974,10822,6919,188,294,256
thrC,11413,15378,11340,455,473,473
yaaX,133,133,129,77,72,62
yaaA,740,419,744,893,831,881
yaaJ,180,271,128,336,378,379
talB,10615,10359,11299,11742,13337,12969
mog,684,603,691,1326,1676,1508
satP,245,320,214,273,323,326
yaaW,31,38,42,53,49,64
mbiA,0,0,0,0,0,0
yaaI,36,41,33,26,29,27
dnaK,4482,16936,4796,14824,24408,22803
dnaJ,2779,4893,2771,8026,13067,12066
insL-1,715,588,670,974,1506,1419
mokC,57,182,84,54,98,82
hokC,0,0,0,0,0,0
sokC,29,24,19,4,7,7
nhaA,1533,1571,1151,416,463,540
nhaR,1619,1608,1255,470,532,536
insB-1,151,186,135,93,111,119
insA-1,259,339,244,205,244,212
rpsT,12853,3599,10409,9022,8116,8581
yaaY,203,156,147,76,99,104
ribF,8338,5590,7862,5395,6466,6398
ileS,26256,22425,27112,19077,24071,22286
lspA,4413,3927,4277,3032,3728,3442
fkpB,3911,3369,3648,2854,3594,3517
ispH,3000,1931,2825,2448,3122,3125
rihC,141,163,169,603,774,699
dapB,1358,1156,1616,687,892,856
carA,16173,4830,21035,1091,1372,1304
carB,23050,13553,32917,2009,3148,2974
caiF,238,343,280,417,600,531
caiE,19,33,17,41,56,44
caiD,7,17,11,44,67,62
caiC,129,251,133,268,366,326
caiB,123,218,169,308,428,437
caiA,55,116,67,105,165,148
caiT,24,24,24,12,15,7
fixA,12,7,14,3,15,11
fixB,21,17,20,5,6,11
fixC,35,23,31,11,20,18
fixX,3,8,6,1,1,3
yaaU,17,14,14,11,7,9
kefF,145,118,113,52,82,80
kefC,300,276,298,143,169,168
folA,924,523,922,1903,2133,2109
apaH,1356,764,1060,1355,1530,1491
apaG,1690,1229,1338,1202,1366,1366
rsmA,2516,1654,2425,2052,2362,2344
pdxA,2107,878,1823,1577,1918,1935
surA,9162,5334,8399,7306,8326,7754
