Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
2560T,000001Farrow_MOBF,17,1,13.67,5.77,3.33,2,2,1,0.58,6.835,misc,finO,#040F0F,,,,,,
2560T,000001Farrow_MOBF,7,2,13.67,5.77,3.33,3,2,1,0.58,,misc,finO,#040F0F,,,,,,
2560T,000001Farrow_MOBF,17,3,13.67,5.77,3.33,1,2,1,0.58,,misc,finO,#040F0F,,,,,,
5243T,contig_4_MOBP_MOBP,197,1,202,44.71,25.81,216,228,37.47,21.63,0.885964912,pil,pilL,#00394C,,,,,,
5243T,contig_4_MOBP_MOBP,160,2,202,44.71,25.81,198,228,37.47,21.63,,pil,pilL,#00394C,,,,,,
5243T,contig_4_MOBP_MOBP,249,3,202,44.71,25.81,270,228,37.47,21.63,,pil,pilL,#00394C,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,1,0,0,0,0,0,0,0,,pil,pilL,#00394C,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,2,0,0,0,0,0,0,0,,pil,pilL,#00394C,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0,0,0,0,0,0,0,,pil,pilL,#00394C,,,,,,
5243T,contig_4_MOBP_MOBP,58,1,72,29.6,17.09,75,76,16.52,9.54,0.947368421,pil,pilM,#FFB300,,,,,,
5243T,contig_4_MOBP_MOBP,52,2,72,29.6,17.09,60,76,16.52,9.54,,pil,pilM,#FFB300,,,,,,
5243T,contig_4_MOBP_MOBP,106,3,72,29.6,17.09,93,76,16.52,9.54,,pil,pilM,#FFB300,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,1,0,0,0,0,0,0,0,,pil,pilM,#FFB300,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,2,0,0,0,0,0,0,0,,pil,pilM,#FFB300,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0,0,0,0,0,0,0,,pil,pilM,#FFB300,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,1469,1,1274.33,169.77,98.02,1414,1299.67,105.19,60.73,0.980502743,pil,pilN,#EF0038,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,1157,2,1274.33,169.77,98.02,1207,1299.67,105.19,60.73,,pil,pilN,#EF0038,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,1197,3,1274.33,169.77,98.02,1278,1299.67,105.19,60.73,,pil,pilN,#EF0038,,,,,,
5243T,contig_4_MOBP_MOBP,494,1,564.33,140.4,81.06,329,313,46.13,26.63,1.802971246,pil,pilN,#EF0038,,,,,,
5243T,contig_4_MOBP_MOBP,473,2,564.33,140.4,81.06,261,313,46.13,26.63,,pil,pilN,#EF0038,,,,,,
5243T,contig_4_MOBP_MOBP,726,3,564.33,140.4,81.06,349,313,46.13,26.63,,pil,pilN,#EF0038,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,1,0,0,0,0,0,0,0,,pil,pilN,#EF0038,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,2,0,0,0,0,0,0,0,,pil,pilN,#EF0038,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0,0,0,0,0,0,0,,pil,pilN,#EF0038,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,335,1,290,44.03,25.42,833,781,54.67,31.56,0.371318822,pil,pilQ,#040F0F,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,288,2,290,44.03,25.42,724,781,54.67,31.56,,pil,pilQ,#040F0F,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,247,3,290,44.03,25.42,786,781,54.67,31.56,,pil,pilQ,#040F0F,,,,,,
5243T,contig_4_MOBP_MOBP,393,1,464.67,104.04,60.07,171,182,19.92,11.5,2.553131868,pil,pilQ,#040F0F,,,,,,
