Geneid,M9-PCU1T-1,M9-PCU1T-3,M9-PCU1T-2,TB-PCU1T-6,TB-PCU1T-5,TB-PCU1T-4
thrL,92,153,129,153,161,145
thrA,24855,70138,48347,6451,3781,3607
thrB,3179,8770,6299,870,453,402
thrC,5548,14601,11171,2074,1067,985
yaaX,92,127,111,139,117,116
yaaA,691,499,520,1399,1512,1094
yaaJ,151,126,121,278,335,359
talB,10238,10181,10511,12494,12984,12573
mog,617,546,586,1633,1810,1786
satP,233,241,215,399,544,499
yaaW,27,17,32,72,48,48
mbiA,0,0,0,0,0,0
yaaI,39,36,28,31,25,38
dnaK,7677,6530,6843,13709,27796,36178
dnaJ,3645,3166,3111,9170,16664,18888
insL-1,704,701,618,1118,1926,1979
mokC,86,77,111,42,50,70
hokC,0,0,0,0,0,0
sokC,17,19,12,4,3,7
nhaA,1193,1008,916,842,735,760
nhaR,1392,1165,1329,854,716,803
insB-1,181,139,148,119,141,137
insA-1,138,137,141,251,242,290
rpsT,9737,8922,8366,18496,18776,20399
yaaY,161,201,150,152,167,163
ribF,6951,7602,6775,5376,5872,6136
ileS,22094,23259,20471,17227,17965,17697
lspA,3472,3980,3596,2396,2523,2680
fkpB,3153,3849,3161,2468,2975,2953
ispH,2376,2786,2463,1917,2229,2174
rihC,152,144,133,555,503,479
dapB,1437,1403,1355,1133,1057,973
carA,3114,1924,2363,458,497,475
carB,6271,3974,4681,1226,1370,1425
caiF,333,286,333,494,450,435
caiE,27,20,27,48,54,46
caiD,5,11,11,59,72,58
caiC,144,155,125,575,609,581
caiB,143,168,132,621,707,628
caiA,52,59,57,189,200,193
caiT,32,30,43,27,12,19
fixA,13,13,8,6,14,14
fixB,11,13,15,12,15,15
fixC,25,23,24,22,20,23
fixX,2,6,2,1,2,3
yaaU,12,17,16,5,16,10
kefF,104,97,103,161,92,102
kefC,200,223,196,314,209,248
folA,631,610,636,3931,3659,3905
apaH,1494,1191,1218,1812,1838,2024
apaG,1775,1684,1666,1260,1383,1361
rsmA,1938,1775,1730,1964,2159,2127
pdxA,2005,1721,1722,1749,1870,1914
