GeneID,GeneGroup,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Strain,TBM9alpharatio,TBM9alpharatioSD
finO,tra_key,7.588206431,-2.709019981,0.791826749,-3.421228173,0.00062339,0.001310482,2560T,1.0052651,0.088433921
mok,addiction,40935.25539,-1.390028849,0.235533938,-5.901607486,3.60E-09,1.38E-08,2560T,1.0052651,0.088433921
psiA,psi,886.5189827,-3.403098835,0.349722595,-9.73085205,2.23E-22,2.04E-21,2560T,1.0052651,0.088433921
psiB,psi,423.8684854,-2.735081309,0.328272553,-8.331739242,7.97E-17,5.40E-16,2560T,1.0052651,0.088433921
repA1,rep,4245.558972,-1.470611215,0.231285251,-6.35843058,2.04E-10,8.61E-10,2560T,1.0052651,0.088433921
stbA,addiction,2526.1981,-0.170856118,0.214024338,-0.798302282,0.424695094,0.487960065,2560T,1.0052651,0.088433921
stbB,addiction,822.3280468,-0.043894145,0.17482129,-0.251080087,0.801752191,0.838291089,2560T,1.0052651,0.088433921
tnpA,transposon,285.658388,-2.456260141,0.272814154,-9.003419026,2.19E-19,1.71E-18,2560T,1.0052651,0.088433921
tnpA_1,transposon,153.4437084,-2.268974003,0.276556463,-8.204378867,2.32E-16,1.52E-15,2560T,1.0052651,0.088433921
tnpA_2,transposon,130.6249763,-2.602896198,0.288421495,-9.02462625,1.80E-19,1.41E-18,2560T,1.0052651,0.088433921
tnpR-Tn3,transposon,747.1030941,-2.343378954,0.221281776,-10.59002237,3.32E-26,3.69E-25,2560T,1.0052651,0.088433921
traE,tra_basic,107.3385133,-1.729316469,0.44973802,-3.845164056,0.000120472,0.000278831,2560T,1.0052651,0.088433921
traF,tra_basic,152.5566513,-1.733888799,0.329393625,-5.263880855,1.41E-07,4.66E-07,2560T,1.0052651,0.088433921
traG,tra_basic,36.40303829,-1.783119663,0.438189433,-4.069289505,4.72E-05,0.000116003,2560T,1.0052651,0.088433921
traH_1,tra_basic,74.15246202,-1.698891945,0.336917216,-5.042461068,4.60E-07,1.45E-06,2560T,1.0052651,0.088433921
traH_2,tra_basic,94.3942362,-1.407718825,0.28025098,-5.023064778,5.09E-07,1.59E-06,2560T,1.0052651,0.088433921
traJ,tra_key,190.2567648,-2.273793713,0.373385924,-6.089661035,1.13E-09,4.50E-09,2560T,1.0052651,0.088433921
traK,tra_basic,107.3635112,-1.485131361,0.364751589,-4.071624107,4.67E-05,0.000114941,2560T,1.0052651,0.088433921
traM,tra_key,80.02968906,-1.62200516,0.370330033,-4.379890945,1.19E-05,3.16E-05,2560T,1.0052651,0.088433921
traQ,tra_basic,15.10526929,-2.705994537,0.615791599,-4.394334939,1.11E-05,2.97E-05,2560T,1.0052651,0.088433921
traU,tra_basic,96.21693788,-1.681122679,0.323885756,-5.190480435,2.10E-07,6.82E-07,2560T,1.0052651,0.088433921
traW,tra_basic,4.833543827,-1.957765706,1.066439239,-1.835796766,0.06638772,0.094934654,2560T,1.0052651,0.088433921
traX,tra_basic,661.4853568,-1.170115995,0.162762824,-7.189086343,6.52E-13,3.31E-12,2560T,1.0052651,0.088433921
traY,tra_key,175.6415593,-0.462724261,0.198220353,-2.334393289,0.019575138,0.031369868,2560T,1.0052651,0.088433921
trbA,trb,28.47807919,-1.847096297,0.530566478,-3.481366374,0.000498863,0.001061824,2560T,1.0052651,0.088433921
trbF,trb,24.57644534,-0.697920609,0.532833071,-1.309829751,0.190253436,0.242714436,2560T,1.0052651,0.088433921
trbI,trb,28.61926542,-1.95526244,0.427830204,-4.57018327,4.87E-06,1.36E-05,2560T,1.0052651,0.088433921
trbJ,trb,16.45363153,-1.708115275,0.583934677,-2.925182116,0.003442547,0.006365546,2560T,1.0052651,0.088433921
parM,addiction,4768.944352,-0.246076764,0.208518601,-1.180119005,0.237952887,0.311226005,41T,1.425635171,0.125083726
pemI,addiction,2912.574548,-1.455123374,0.213787939,-6.806386655,1.00E-11,6.37E-11,41T,1.425635171,0.125083726
pemK,addiction,2566.850112,-1.289198411,0.171875969,-7.500748487,6.35E-14,4.79E-13,41T,1.425635171,0.125083726
psiB,psi,438.1131018,-1.033230021,0.141659368,-7.293764177,3.01E-13,2.17E-12,41T,1.425635171,0.125083726
traA_2,tra_basic,44788.86377,0.800869154,0.351740521,2.276874872,0.022793699,0.039794484,41T,1.425635171,0.125083726
traC,tra_basic,3384.774693,2.112854598,0.221560905,9.536224803,1.48E-21,1.89E-20,41T,1.425635171,0.125083726
traD_1,tra_basic,81.05406028,1.759379562,0.285844124,6.155031414,7.51E-10,4.07E-09,41T,1.425635171,0.125083726
traD_2,tra_basic,343.2174853,-0.713198978,0.192626891,-3.702489166,0.000213494,0.000561423,41T,1.425635171,0.125083726
traD_3,tra_basic,8370.618673,1.205808834,0.532277189,2.265377623,0.023489516,0.040852955,41T,1.425635171,0.125083726
traI_1,tra_key,57.61111718,0.22202499,0.413203632,0.537325844,0.591042556,0.658786237,41T,1.425635171,0.125083726
traI_2,tra_key,1623.777861,0.684781072,0.440668277,1.553960446,0.120193852,0.172764857,41T,1.425635171,0.125083726
traI_3,tra_key,3192.287193,-1.051542497,0.110875294,-9.484010903,2.45E-21,3.09E-20,41T,1.425635171,0.125083726
traI_4,tra_key,15724.84292,0.473748738,0.446558133,1.060889286,0.288740219,0.366022852,41T,1.425635171,0.125083726
traJ_2,tra_key,1813.429514,-1.219573748,0.541348992,-2.252842004,0.024269113,0.04211518,41T,1.425635171,0.125083726
traM_2,tra_key,2714.795123,-0.298171486,0.348139702,-0.85647079,0.391737423,0.471272774,41T,1.425635171,0.125083726
traQ,tra_basic,451.4746588,1.876184314,0.484824409,3.869822308,0.000108915,0.000301623,41T,1.425635171,0.125083726
traR,tra_basic,54.95764772,0.995953985,0.370798056,2.685974127,0.007231869,0.014150994,41T,1.425635171,0.125083726
traV_1,tra_basic,71.39741664,0.027945594,0.241327056,0.11579967,0.907811312,0.93058733,41T,1.425635171,0.125083726
traV_2,tra_basic,440.0663164,0.032309752,0.172904425,0.186864805,0.851766635,0.884899872,41T,1.425635171,0.125083726
traY_2,tra_key,26182.43348,0.025449857,0.272371982,0.093437868,0.925555708,0.945240045,41T,1.425635171,0.125083726
virB1,virB,1774.894253,-0.894738827,0.20938262,-4.273223959,1.93E-05,6.11E-05,41T,1.425635171,0.125083726
virB4,virB,4315.190515,-0.175636537,0.202182137,-0.868704524,0.385008767,0.46430022,41T,1.425635171,0.125083726
virB5,virB,1237.969358,-0.10928032,0.213701571,-0.511368819,0.609092824,0.675375702,41T,1.425635171,0.125083726
virB6,virB,4800.137826,-0.696570336,0.219013471,-3.180490829,0.001470258,0.003341495,41T,1.425635171,0.125083726
virB8,virB,2145.988139,-0.502160069,0.210501916,-2.385536812,0.017054215,0.030573618,41T,1.425635171,0.125083726
virB9,virB,1608.491401,-0.492762965,0.173845824,-2.83448261,0.004589996,0.009369957,41T,1.425635171,0.125083726
parA,addiction,2388.411247,-0.465081373,0.158131482,-2.941105521,0.003270431,0.005760098,5243T,1.075998126,0.086756438
parB,addiction,102.4597679,-0.537076945,0.213610485,-2.514281747,0.01192751,0.01921717,5243T,1.075998126,0.086756438
pilL,pil,212.248133,0.250836941,0.180062636,1.393053807,0.16360352,0.211392022,5243T,1.075998126,0.086756438
pilM,pil,72.36736802,0.16378085,0.276464465,0.59241194,0.553574773,0.607961453,5243T,1.075998126,0.086756438
pilN,pil,428.5212657,-0.771038166,0.165780231,-4.650965702,3.30E-06,8.25E-06,5243T,1.075998126,0.086756438
pilQ,pil,315.5155641,-1.27157336,0.172754438,-7.360582894,1.83E-13,7.89E-13,5243T,1.075998126,0.086756438
pilR,pil,208.6789881,-0.911860939,0.216841258,-4.205200372,2.61E-05,5.88E-05,5243T,1.075998126,0.086756438
pilS,pil,233.8278923,-0.905783057,0.190907144,-4.744626299,2.09E-06,5.30E-06,5243T,1.075998126,0.086756438
pilT,pil,66.69209747,-0.648678471,0.265708132,-2.441319599,0.014633698,0.023200894,5243T,1.075998126,0.086756438
pilU,pil,360.9522841,-2.514234446,0.161150432,-15.60178533,7.08E-55,1.30E-53,5243T,1.075998126,0.086756438
psiA,psi,108.0881171,-2.067994398,0.238239713,-8.680309324,3.95E-18,2.22E-17,5243T,1.075998126,0.086756438
psiB,psi,121.6328011,-1.764547286,0.225772978,-7.815582283,5.47E-15,2.59E-14,5243T,1.075998126,0.086756438
repA1,rep,3185.584727,-0.445601733,0.12462391,-3.575571752,0.000349463,0.000697282,5243T,1.075998126,0.086756438
tnpA,transposon,14578.58303,-1.119525468,0.166375072,-6.728925505,1.71E-11,6.51E-11,5243T,1.075998126,0.086756438
tnpA_2,transposon,3.77885709,-1.763290056,1.430086203,-1.232995642,0.21757739,0.270853625,5243T,1.075998126,0.086756438
traA,tra_basic,5.301493053,0.08562081,0.739089457,0.115846341,0.907774323,0.923867829,5243T,1.075998126,0.086756438
traB_2,tra_basic,4.701970697,-0.417360542,1.124021723,-0.371310032,0.710406627,0.750584915,5243T,1.075998126,0.086756438
traC,tra_basic,257.6370293,-1.575954076,0.196496519,-8.020264582,1.06E-15,5.18E-15,5243T,1.075998126,0.086756438
traE_2,tra_basic,3.804254505,-0.531206076,1.15060813,-0.46167419,0.644314983,0.690552289,5243T,1.075998126,0.086756438
traF,tra_basic,387.9231159,-1.66838238,0.175548971,-9.503800411,2.02E-21,1.35E-20,5243T,1.075998126,0.086756438
traH,tra_basic,165.9296508,-1.482770133,0.200725456,-7.387055739,1.50E-13,6.51E-13,5243T,1.075998126,0.086756438
traI,tra_key,365.9795815,-0.998258823,0.219580591,-4.546207008,5.46E-06,1.33E-05,5243T,1.075998126,0.086756438
traJ,tra_key,486.5683876,-0.954293544,0.205268543,-4.649000427,3.34E-06,8.32E-06,5243T,1.075998126,0.086756438
traL,tra_basic,1.888755682,2.242067289,1.49029464,1.504445651,0.132466657,0.175023675,5243T,1.075998126,0.086756438
